,coma,puntos,parentesis,word_count,letras,charbyword,concre_media,cant_abstractas
5149,0,1,0,17,84,4.9411764705882355,1.6805882352941175,8
2927,0,1,0,4,16,4.0,1.885,0
952,0,1,0,6,27,4.5,1.3233333333333335,4
5501,0,1,0,5,20,4.0,1.19,2
479,0,1,0,11,43,3.909090909090909,1.823636363636364,6
3644,0,1,0,6,23,3.8333333333333335,1.6583333333333332,1
1262,0,0,0,9,30,3.3333333333333335,1.5933333333333333,1
2452,3,1,0,19,78,4.105263157894737,1.354736842105263,7
6332,0,1,0,11,41,3.727272727272727,2.2654545454545456,5
7050,0,0,0,7,42,6.0,1.4357142857142857,2
2750,0,1,0,8,26,3.25,2.4000000000000004,2
5831,0,1,0,5,21,4.2,1.004,1
4352,1,0,0,25,116,4.64,1.9888,11
4348,0,1,0,6,27,4.5,1.925,2
3371,0,1,0,4,8,2.0,1.8375000000000001,2
6164,0,1,0,8,28,3.5,2.1199999999999997,2
5011,0,1,0,6,30,5.0,1.4316666666666666,3
208,0,1,0,10,31,3.1,2.1740000000000004,4
4917,1,1,0,19,85,4.473684210526316,1.9510526315789474,6
2611,0,1,0,6,22,3.6666666666666665,2.6166666666666667,2
2416,0,1,0,9,35,3.888888888888889,1.971111111111111,5
4011,0,1,0,8,24,3.0,2.53375,3
6498,0,1,0,10,33,3.3,1.6220000000000003,5
235,0,1,0,26,89,3.423076923076923,2.3565384615384617,14
2932,0,1,0,5,17,3.4,1.574,0
4200,1,1,0,12,51,4.25,1.2125000000000001,7
478,0,1,0,4,11,2.75,1.8925,2
4837,1,1,0,11,47,4.2727272727272725,1.7518181818181817,5
6673,0,1,0,12,64,5.333333333333333,1.4333333333333333,1
387,0,1,0,5,24,4.8,1.5260000000000002,0
6170,0,1,0,10,53,5.3,1.748,3
6628,0,1,0,5,14,2.8,2.262,2
906,0,1,0,4,14,3.5,1.6125,1
2387,1,1,0,8,35,4.375,1.40625,4
5310,0,1,0,7,36,5.142857142857143,0.8942857142857142,1
6874,0,1,0,4,18,4.5,1.43,1
6517,0,1,0,9,26,2.888888888888889,1.946666666666667,4
2468,0,0,0,5,24,4.8,2.094,2
1511,0,1,0,5,19,3.8,1.8239999999999998,2
6053,0,1,0,7,24,3.4285714285714284,2.5785714285714283,3
1287,0,1,0,9,28,3.111111111111111,2.41,3
4008,1,1,0,16,55,3.4375,2.2093749999999996,6
7165,0,1,0,11,49,4.454545454545454,1.270909090909091,3
4078,1,1,0,18,65,3.611111111111111,2.0533333333333332,11
735,0,1,0,9,35,3.888888888888889,1.2222222222222223,5
35,2,2,0,19,69,3.6315789473684212,1.4236842105263157,6
1841,0,0,0,3,17,5.666666666666667,1.6333333333333335,1
3239,0,1,0,7,31,4.428571428571429,2.1671428571428573,2
4176,1,0,0,8,37,4.625,1.70375,3
5258,0,1,0,4,12,3.0,1.51,1
1668,0,1,0,10,35,3.5,2.3609999999999998,2
3604,1,1,0,16,68,4.25,1.7875,6
3061,0,0,0,6,38,6.333333333333333,1.2266666666666666,2
7132,0,1,0,4,10,2.5,1.4975,1
5203,0,1,0,5,12,2.4,2.188,2
6117,0,1,0,7,26,3.7142857142857144,1.6842857142857142,4
1840,0,0,0,9,37,4.111111111111111,2.0966666666666667,2
7125,0,4,0,39,158,4.051282051282051,1.6282051282051282,16
6301,1,1,0,19,70,3.6842105263157894,1.7836842105263158,6
2570,0,1,0,9,42,4.666666666666667,2.2955555555555556,3
89,0,1,0,5,25,5.0,2.2359999999999998,2
1341,0,1,0,12,56,4.666666666666667,1.7716666666666665,5
5551,0,0,0,11,41,3.727272727272727,2.3836363636363633,4
6808,0,1,0,6,35,5.833333333333333,1.8583333333333334,1
1907,0,1,0,7,25,3.5714285714285716,0.9171428571428571,2
2518,1,1,0,12,65,5.416666666666667,2.4358333333333335,3
5978,1,1,0,14,61,4.357142857142857,1.5092857142857146,3
6530,2,1,0,15,59,3.933333333333333,1.4753333333333332,6
5790,0,1,0,6,30,5.0,1.3733333333333333,2
392,0,1,0,4,11,2.75,2.16,2
5950,0,0,0,8,34,4.25,1.69375,3
3065,0,1,0,9,34,3.7777777777777777,2.0811111111111114,4
1582,0,1,0,3,9,3.0,0.53,1
3914,0,1,0,5,21,4.2,1.19,2
2330,0,1,0,6,28,4.666666666666667,1.5616666666666665,2
1794,0,1,0,5,30,6.0,1.85,1
4236,0,1,0,6,19,3.1666666666666665,1.751666666666667,2
4110,0,1,0,5,22,4.4,1.7600000000000002,1
6934,0,1,0,6,27,4.5,1.2233333333333334,2
6234,0,0,0,5,34,6.8,0.9280000000000002,1
